ID,Brand,Product,Price
669,MODA,MODA SUNFLOWER SEEDS EXTRA SALTED 16/10 OZ," $42,50 "
670,MODA,MODA SUNFLOWER SEEDS SALTED 16/10 OZ," $42,50 "
671,MODA,MODA TRESLECHES 1580 GR TRAY," $18,50 "
672,MODA,MODA SAN SEBASTIAN CHEESECAKE PRE-SLICED 6 CAKES OF 12 SLICES," $179,00 "
673,MODA,MODA SLICED DONER 4/5 LB," $250,00 "
674,MODA,MODA RIDDLED COOKIES IN SYRUP 25 PCS 2.3 LBS," $18,00 "
675,MODA,MODA RASPBERRY CAKE PRE-SLICED 6 CAKES OF 12 SLICES," $179,00 "
676,MODA,MODA RED VELVET CAKE PRE-SLICED 6 CAKES OF 12 SLICES," $179,00 "
677,MODA,MODA SHREDDED KATAIFI DUBAI CHOCOLATE  CAKE  PRE-SLICED 6 CAKES/12 SLICES," $202,00 "
678,MODA,MODA POMEGRANATE MOLASSES 100% PURE 6/500 ML," $44,60 "
679,MODA,MODA SUNFLOWER OIL 4/4.5 LT," $44,00 "
680,MODA,MODA SALGAM HOT 24/250 ML," $22,00 "
681,MODA,MODA SALGAM CLASSIC 24/250 ML," $22,00 "
682,MODA,MODA KATAIFI DOUGH 12/1 LB," $39,00 "
683,MODA,MODA ROYAL KATAIFI W/PISTACHIO 5.5 LBS TRAY," $69,00 "
684,MODA,MODA FILLO #4 24/1 LB," $67,00 "
685,MODA,MODA ASSORTED BAKLAVA 1250 GR TRAY," $31,00 "
686,MODA,MODA ASSORTED BAKLAVA 8/860 GR," $136,00 "
687,MODA,MODA BAKLAVA CHOCOLATE 16/8 PCS RETAIL PACK," $116,80 "
688,MODA,MODA BAKLAVA CHOCOLATE 70 PCS/ 6.5 LBS TRAY," $58,00 "
689,MODA,MODA BAKLAVA COLD MILKY W/PISTACHIO 16/12 OZ RETAIL," $120,00 "
690,MODA,MODA BAKLAVA DOUBLE PISTACHIO 16/9 PCS RETAIL PACK," $112,00 "
691,MODA,MODA BAKLAVA DOUBLE WALNUT 72 PCS/ 6 LBS TRAY," $42,00 "
692,MODA,MODA BAKLAVA LIP SHAPE W/PISTACHIO 80 PCS 5.5 LBS," $62,00 "
693,MODA,MODA BEEF DONER 16/8 OZ," $117,80 "
694,MODA,MODA PISTACHIO DREAM CAKE PRE-SLICED 6 CAKES OF 12 SLICES," $179,00 "
695,MODA,MODA PHYLLO PISTACHIO BAKLAVA CAKE  PRE-SLICED 6 CAKES/12 SLICES," $202,00 "
696,MODA,MODA MONO CAKE TIRAMISU 8/140 GR X 3 PACK," $86,00 "
697,MODA,MODA FOREST FRUIT CAKE PRE-SLICED 6 CAKES OF 12 SLICES," $179,00 "
698,MODA,MODA VEGAN LAHMAJUN 12/4 PCS," $69,00 "
699,MODA,MODA TURKISH MANTI BEEF DUMPLING 4/5 LBS," $104,00 "
700,MODA,MODA TURKISH CHEESE PASTRY ROLLS 8/2 LBS," $104,00 "
701,MODA,MODA TAHINI 40 LBS," $112,00 "
702,MODA,MODA STUFFED CABBAGE LEAVES W/RICE UNCOOKED 12/1000 GR," $152,00 "
703,MODA,MODA POMEGRANATE MOLASSES 6/9 LBS," $90,00 "
704,MODA,MODA PEPPER PASTE 4/4300 GR," $124,80 "
705,MODA,MODA LAHMAJUN MILD 12/6 PCS," $139,80 "
706,MODA,MODA LAHMAJUN HOT 12/6 PCS," $139,80 "
707,MODA,MODA CHICKEN DONER 16/8 OZ," $109,80 "
708,MODA,MODA KIBBEH W/BEEF 5 BAGS X 25 PCS," $144,00 "
709,MODA,MODA KAYMAK KASHTA 12/5.3 OZ," $52,80 "
710,MODA,MODA GRILLED EGGPLANT 6/6 LBS," $45,00 "
711,MODA,MODA FALAFEL PRE-COOKED 4/36 PCS," $54,00 "
712,MODA,"MODA DONER CONE 100% LEAF (20% LAMB, 80% BEEF) 25 LB"," $180,00 "
713,MODA,MODA CHICKEN DONER CONE 2/25 LBS," $254,00 "
714,MODA,MODA CHIBOREK W/GROUND BEEF 6 PCS 16/12 OZ," $93,80 "
715,MODA,MODA CHEESE PASTRY ROLLS 16/16 OZ RETAIL PACK," $99,00 "
716,MODA,MODA BEEF DUMPLINGS MANTI 16/12 OZ," $86,00 "
717,MODA,MODA DEVIL'S FUDGE CAKE PRE-SLICED 6 CAKES OF 12 SLICES," $179,00 "
718,MODA,MODA KIBBEH W/BEEF 16/12 OZ 5 PCS," $97,80 "
719,MODA,MODA ICE CREAM PISTACHIO 12/16 OZ 6 SLICES," $124,00 "
720,MODA,MODA STUFFED GRAPE LEAVES W/RICE UNCOOKED 12/1000 GR," $152,00 "
721,MODA,MODA CHOCOLATE PROFITEROLE W/PISTACHIO 12/16 OZ," $109,20 "
722,MODA,MODA BAKLAVA ROLL W/PISTACHIO 48 PCS/ 2.75 LBS TRAY," $41,50 "
723,MODA,MODA BAKLAVA W/ DOUBLE PISTACHIO 72 PCS/ 6 LBS TRAY," $52,00 "
724,MODA,MODA ICE CREAM PLAIN 12/16 OZ 6 SLICES," $96,00 "
725,MODA,MODA CHURRO HALKA TATLI 12/16 OZ 6 PCS RETAIL," $60,00 "
726,MODA,MODA COLD MILKY BAKLAVA W/HAZELNUT 48 PCS 7.8 LBS," $45,00 "
727,MODA,MODA COLD MILKY BAKLAVA W/PISTACHIO 48 PCS 7.8 LBS," $59,00 "
728,MODA,MODA COLD MILKY KATAIFI W/PISTACHIO 7.5 LBS," $49,50 "
729,MODA,MODA TURKISH PASTIRMA SLICED 24/6 OZ," $295,00 "
730,MODA,MODA SUJUK MILD 12/1 LB," $113,80 "
731,MODA,MODA SUJUK HOT 12/1 LB," $113,80 "
732,MODA,MODA CRUNCHY BISCUIT LOTUS CHEESECAKE PRE-SLICED 6 CAKES OF 12 SLICES," $179,00 "
733,MODA,MODA DIYARBAKIR KADAYIF W/PISTACHIO 16/4 PCS RETAIL PACK," $153,60 "
734,MODA,MODA DIYARBAKIR KATAIFI W/PISTACHIO 5.5 LBS TRAY," $66,00 "
735,MODA,MODA DOUBLE PISTACHIO BAKLAVA TO GO PACK 24/198 GR," $123,50 "
736,MODA,MODA EKMEK KATAIFI RETAIL PACK 16/12 OZ," $84,00 "
737,MODA,MODA FIG SHAPE BAKLAVA W/WALNUT 70 PCS/6.2 LBS," $44,75 "
738,MODA,MODA HALEP BURMA KATAIFI W/PISTACHIO 4.5 LBS," $69,00 "
739,MODA,MODA HALVA CLASSIC 12/16 OZ," $46,80 "
740,MODA,MODA HALVA COCOA 12/16 OZ," $46,80 "
741,MODA,MODA HALVA PISTACHIO 12/16 OZ," $69,80 "
742,MODA,MODA HAZELNUT NUTELLA CHEESECAKE PRE-SLICED 6 CAKES OF 12 SLICES," $179,00 "
743,MODA,MODA KATAIFI W/PISTACHIO 16/2 PCS RETAIL PACK," $99,80 "
744,MODA,MODA KATAIFI W/PISTACHIO 5.5 LBS TRAY," $48,00 "
745,MODA,MODA KATMER W/PISTACHIO 20 PCS," $49,00 "
746,MODA,MODA INEGOL KOFTE 16/14.4 OZ," $108,00 "
747,MODA,MODA KUNEFE PISTACHIO W/SYRUP 20/150 GR," $70,00 "
748,MODA,MODA KUNEFE W/SYRUP 20/145 GR," $60,00 "
749,MODA,MODA MUSSEL SHAPE BAKLAVA W/PISTACHIO 80 PCS/5.5 LBS TRAY," $66,00 "
750,MODA,MODA OREO CREAM COCOA CAKE PRE-SLICED 6 CAKES OF 12 SLICES," $179,00 "
751,MODA,MODA PEANUT CAKE PRE-SLICED 6 CAKES OF 12 SLICES," $179,00 "
752,MODA,MODA BAKLAVA ROLL W/PISTACHIO 16/11 OZ RETAIL PACK," $202,00 "
753,MONTANA,MONTANA FROZEN ARTICHOKE 20/400 GR," $68,95 "
754,MONTANA,MONTANA MOLOKHIA MINCED 20/400 GR," $31,95 "
755,MONTANA,MONTANA MOLOKHIA LEAVES 20/400 GR," $50,95 "
756,MONTANA,MONTANA FROZEN VEGETABLES 20/400 GR," $34,95 "
757,MONTANA,MONTANA FROZEN SPINACH 20/400 GR," $32,95 "
758,MONTANA,MONTANA FROZEN DOUBLE PEELED GREEN FAVA 20/400 GR," $48,95 "
759,MONTANA,MONTANA FROZEN PEAS 20/400 GR," $43,95 "
760,MONTANA,MONTANA FROZEN GREEN FAVA 20/400 GR," $42,95 "
761,MONTANA,MONTANA FROZEN KOLKAS 20/400 GR," $47,95 "
762,MONTANA,MONTANA FROZEN OKRA #0 20/400 GR," $81,95 "
763,MONTANA,MONTANA FROZEN OKRA #1 20/400 GR," $45,95 "
764,MONTANA,MONTANA FROZEN PEAS & CARROTS 20/400 GR," $36,50 "
765,OTHER,MOROCCAN DRY BLACK OLIVES LARGE 20/2 LB," $126,00 "
766,OTHER,MORTADELLA W/OLIVES SLICED 10 LB," $65,00 "
767,MOSUL,MOSUL KUBBA (KUBBA OF WHEAT) 2 PCS/BAG 10 BAGS/CASE," $116,00 "
768,MOUSSY,MOUSSY STRAWBERRY 24/330 ML," $28,00 "
769,MOUSSY,MOUSSY APPLE 24/330 ML," $28,00 "
770,MOUSSY,MOUSSY ICEBERRY 24/330 ML," $28,00 "
771,MOUSSY,MOUSSY LEMON/MINT 24/330 ML," $28,00 "
772,MOUSSY,MOUSSY PEACH 24/330 ML," $28,00 "
773,MOUSSY,MOUSSY POMEGRANATE 24/330 ML," $28,00 "
774,MOUSSY,MOUSSY RASPBERRY 24/330 ML," $28,00 "
775,MOUSSY,MOUSSY PLAIN 24/330 ML," $28,00 "
776,OTHER,MR. NUT CAROB 12/400 GR," $69,00 "
777,OTHER,MR. NUT DRIED APRICOT 24/8 OZ," $82,00 "
778,MUKALLA,MUKALLA TUNA OLIVE OIL 48/6.5 OZ," $135,00 "
779,MUKALLA,MUKALLA TUNA W/CHILI 48/6.5 OZ," $130,00 "
780,OTHER,MUMTAZ TEA RED PACK 24/16 OZ," $216,00 "
781,OTHER,NABEEL AIR FRESHENER 6 PCS," $20,00 "
782,OTHER,NADER BARAKAT SOAP 10/4 PCS," $48,00 "
783,NAJJAR,NAJJAR COFFEE WITH CARDAMOM 10/450 GR," $89,00 "
784,NAJJAR,NAJJAR COFFEE WITH CARDAMOM 20/200 GR," $83,00 "
785,NAJJAR,NAJJAR COFFEE 20/200 GR," $82,00 "
786,NAJJAR,NAJJAR COFFEE 10/450 GR," $88,00 "
787,NAZU'S,NAZU'S PERSIAN TEA 24/450GR," $242,00 "
788,OTHER,NEMAH BLACK HONEY 12/1 LB," $39,00 "
789,NESCAFE,NESCAFE 3 IN 1 24 PCS," $6,75 "
790,NESTLE,NESTLE DAMAK CHOCOLATE 6/60 GR," $11,40 "
791,NESTLE,NESTLE KITKAT 24/4 FINGERS," $21,00 "
792,NESTLE,NESTLE SMARTIES 24/38 GR," $27,00 "
793,NIDO,NIDO MILK POWDER HOLLAND 6/2500 GR," $244,00 "
794,NIDO,NIDO MILK POWDER HOLLAND 6/1800 GR," $215,00 "
795,NIDO,NIDO MILK POWDER HOLLAND 24/400 GR," $230,00 "
796,NIDO,NIDO MILK POWDER HOLLAND 12/900 GR," $230,00 "
797,NOON,NOON CURRY VEGETABLE SOUP 12/56 GR," $14,00 "
798,NOON,NOON JELLO ORANGE 12/85 GR," $11,00 "
799,NOON,NOON VEGETABLE SOUP 12/56 GR," $14,00 "
800,NOON,NOON ONION SOUP 12/65 GR," $14,00 "
801,NOON,NOON MUSHROOM SOUP 12/65 GR," $14,00 "
802,NOON,NOON LENTIL SOUP 12/65 GR," $14,00 "
803,NOON,NOON JELLO RASPBERRY 12/85 GR," $11,00 "
804,NOON,NOON CHICKEN SOUP 12/70 GR," $14,00 "
805,NOON,NOON BAKING POWDER 24/230 GR," $62,00 "
806,NOON,NOON COCOA POWDER 24/100 GR," $69,80 "
807,NOON,NOON CUSTARD 24/300 GR CANS," $63,80 "
808,NOON,NOON CREM CARAMEL 12/73 GR," $12,50 "
809,NOON,NOON JELLO APRICOT 12/85 GR," $11,00 "
810,NOON,NOON JELLO BANANA 12/85 GR," $11,00 "
811,NOON,NOON JELLO CHERRY 12/85 GR," $11,00 "
812,NOON,NOON JELLO GRAPE 12/85 GR," $11,00 "
813,NOON,NOON JELLO MANGO 12/85 GR," $11,00 "
814,NOON,NOON VANILLA POWDER 24/170 GR," $62,00 "
815,NOON,NOON TOPPING CREAM 24/144 GR," $73,80 "
816,NOON,NOON JELLO STRAWBERRY/BANANA 12/85 GR," $11,00 "
817,NOON,NOON JELLO STRAWBERRY 12/85 GR," $11,00 "
818,NOON,NOON JELLO APPLE 12/85 GR," $11,00 "
819,NOUR,NOUR LUPINI IN JAR  6/1KG," $20,80 "
820,NOUR,NOUR SPLIT FAVA BEANS 20/400 GR," $36,00 "
821,NOUR,NOUR WHEAT BRAN FINE 24/200 GR," $27,00 "
822,NOUR,NOUR HIBISCUS 20/50 GR," $32,00 "
823,NOUR,NOUR BRAN BREAD 5 BAGS," $16,00 "
824,NOUR,NOUR WHEAT BRAN COARSE 24/200 GR," $27,00 "
825,NOUR,NOUR ROMI CHEESE WHEEL PER LB," $6,25 "
826,OTHER,OM ALI W/KESHTA 6/449 GR," $13,00 "
827,OTHER,OM ALI W/NUTS 6/160 GR," $13,00 "
828,ONCU,ONCU BLACK OLIVES XL 6/1KG," $72,00 "
829,ORLANDO,ORLANDO GRAPE LEAVES 12/16 OZ," $92,80 "
830,ORLANDO,ORLANDO GRAPE LEAVES PAIL 25 LBS," $155,00 "
831,PASABAHCE,PASABAHCE TEA GLASS INCE BELLI NAZAR BONCUKLU 6PCS," $12,00 "
832,PASABAHCE,PASABAHCE TEA SAUCERS 6 PCS/SET," $6,80 "
833,OTHER,PAYNA PISTACHIO BAKLAVA SINGLE SERVE 48/32 GR," $44,00 "
834,OTHER,PAYNA WALNUT BAKLAVA SINGLE SERVE 48/32 GR," $36,00 "
835,OTHER,PENGUEN STRAWBERRY PRESERVE 6/1500 GR," $67,00 "
836,OTHER,PENGUEN SOUR CHERRY PRESERVE 6/1500 GR," $78,00 "
837,OTHER,PENGUEN APRICOT PRESERVE 6/1500 GR," $52,00 "
838,OTHER,PEPSI IRAQI 24/300 ML," $22,00 "
839,PINDOS,PINDOS HALLOUMI 24/200 GR," $85,00 "
840,OTHER,PISTACHIO RAW HALVES & PIECES 30 LBS," $330,00 "
841,PUCK,PUCK CREAM CHEESE 6/910 GR," $109,80 "
842,PUCK,PUCK CREAM 48/6 OZ CANS," $129,80 "
843,PUCK,PUCK CREAM CHEESE 6/500 GR," $65,80 "
844,OTHER,QUALITY STREET CHOCOLATES 4/900 GR GIFT TIN," $77,00 "
845,OTHER,QUEEN ONION PICKLES 12/950 G JAR," $34,00 "
846,OTHER,QUEEN ONION PICKLES SPICY 12/950 G JAR," $39,00 "
847,OTHER,QUEEN SLICED TURNIP PICKLES 12/950 GR," $39,00 "
848,OTHER,QUEEN SLICED TURNIP PICKLES 22 LBS," $39,00 "
849,OTHER,QUEEN SUPER SEEDS 20/250 GR," $102,00 "
850,OTHER LENTIL,RED LENTIL 55 LBS," $59,95 "
851,REEF,REEF CUCUMBER PICKLES 12/1000 GR," $48,00 "
852,REEF,REEF GREEN KALAMATA OLIVES 12/900 GR," $62,40 "
853,REEF,REEF MAKDOOS (STUFFED EGGPLANT ) PICKLES 12/900 GR," $93,60 "
854,REEF,REEF DATE SYRUP 12/900 GR," $54,60 "
855,REEF,REEF RED PEPPER PASTE HOT 12/600 GR," $54,00 "
856,REEF,REEF DATE PASTE 12/1 KG," $36,00 "
857,REEF,REEF EX LARGE FAVA BEANS 24/1 LB," $78,00 "
858,REEF,REEF DUBAI CHOCOLATE 10/95 GR," $54,00 "
859,REEF,REEF TURNIP PICKLES 37 LBS," $48,00 "
860,REEF,REEF STUFFED GRAPE LEAVES 6/2 KG," $44,50 "
861,REEF,REEF SELA BASMATI RICE 40 LBS," $49,00 "
862,REEF,REEF ORGANIC PITTED DATES 12/24 OZ," $49,80 "
863,REEF,REEF PISTACHIO CREAM 30%  2/11 LBS," $196,00 "
864,REEF,REEF SAGEI DATES 8/1 KG VACUUM," $42,00 "
865,REEF,REEF INSTANT DRINK POWDER 15/1 KG," $72,00 "
866,REEF,REEF JUICE CAN MANGO 24/240 ML," $14,50 "
867,REEF,REEF JUICE CAN ORANGE 24/240 ML," $14,50 "
868,REEF,REEF JUICE CAN PEACH 24/240 ML," $14,50 "
869,REEF,REEF JUICE CAN PINEAPPLE 24/240 ML," $14,50 "
870,REEF,REEF SELA BASMATI RICE 4/10 LBS," $50,00 "
871,REEF,REEF JUICE CAN POMEGRANATE 24/240 ML," $15,80 "
872,REEF,REEF VERMICELLI 24/400 GR," $27,00 "
873,REEF,REEF TURNIP PICKLES 6/1600 GR," $38,40 "
874,REEF,REEF SEMOLINA COARSE 24/24 OZ," $48,00 "
875,REEF,REEF DATE SYRUP ORGANIC 12/680 GR," $58,50 "
876,REEF,REEF BROWN LENTILS 24/24 OZ," $75,00 "
877,REEF,REEF CHICKPEAS 6/#10 CANS," $39,00 "
878,REEF,REEF WILD CUCUMBER PICKLES 12/900 GR," $48,00 "
879,REEF,REEF SEMOLINA FINE 24/24 OZ," $48,00 "
880,REEF,REEF SELA BASMATI RICE 2/20 LBS," $49,00 "
881,REEF,REEF ASSORTED PREMIUM CHOCOLATE  6/610 GR," $54,60 "
882,REEF,REEF CORNICHON CUCUMBER PICKLES 12/900 GR," $59,00 "
883,REEF,REEF CORN STARCH 40/250 GR," $58,50 "
884,REEF,REEF COCONUT 24/340 GR," $74,00 "
885,REEF,REEF CHICKPEAS IN CAN 12/400 GR," $16,00 "
886,REEF,REEF BROAD BEANS 12/420 GR," $24,00 "
887,REEF,REEF BLACK DRY LEMON  ( JUMBO ) 24/8 OZ," $89,00 "
888,REEF,REEF BABA GHANNOUGE 24/370 GR," $36,00 "
889,REEF,REEF GOLDEN RAISINS 24/340 GR," $84,00 "
890,REEF,REEF BLACK KALAMATA OLIVES 12/900 GR," $58,00 "
891,REEF,REEF HUMMUS TAHINI 24/380 GR," $29,50 "
892,REEF,REEF INSTANT MILK POWDER 6/2500 GR," $155,00 "
893,REEF,REEF AMARDEEN 25/330 GR," $66,00 "
894,REEF,REEF KASHTA CAN 48/170 GR," $68,00 "
895,REEF,REEF OLIVE OIL 4/3 LT," $58,00 "
896,REEF,REEF STUFFED GRAPE LEAVES 24/400 GR," $45,00 "
897,REEF,REEF YELLOW  DRY LEMON 24/8 OZ," $84,00 "
898,REEF,REEF PISTACHIO CREAM 30% 12/200 GR," $66,00 "
899,REEF,REEF INSTANT MILK POWDER 12/900 GR," $148,00 "
900,REEF,REEF TURKISH DELIGHT 12/450 GR," $45,00 "
901,RODOPA,RODOPA BULGARIAN FETA 12/2 LB," $119,80 "
902,RODOPA,RODOPA BULGARIAN FETA 12/400 GR," $66,80 "
903,OTHER,ROYAL BENGAL TIGER SELA RICE 2/20 LB," $59,80 "
904,OTHER,ROYAL HALAL CHICKEN LUNCHEON 24/12 OZ," $72,00 "
905,OTHER,ROYAL DIET HERBAL TEA 36/50 TB," $118,00 "
906,OTHER,RUKAK AL SALAM 10/400 GR," $39,00 "
907,SADAF,SADAF KASHK LIQUID 12/16 OZ," $99,80 "
908,SADAF,SADAF CHICK PEA FLOUR FINE 12/16 OZ," $33,80 "
909,SADAF,SADAF CHICK PEA FLOUR COARSE 12/16 OZ," $33,80 "
910,SADAF,SADAF SP. BL. EARL GREY TEA 12/100 TB," $114,80 "
911,SADAF,SADAF SP. BL. TEA EARL GREY  24/50 TB," $116,80 "
912,SADAF,SADAF SP. BL.CARDAMOM TEA12/100 TB," $114,80 "
913,SADAF,SADAF SP. BL.EARL GREY TEA 24/16 OZ," $259,00 "
914,SADAF,SADAF SP.BL.CARDAMOM TEA 24/16 OZ," $259,00 "
915,SADAF,SADAF TOMATO PASTE JAR 12/700 G," $42,00 "
916,SADAF,SADAF GHORMEH SABZI HERBS FRIED - FROZEN 12/12 OZ," $104,00 "
917,SADAF,SADAF SABZI AASH 24/2 OZ," $94,80 "
918,SADAF,SADAF RESHTEH NOODLE FOR AASH 40/12 OZ," $76,80 "
919,SADAF,SADAF SABZI DOLMEH 24/2 OZ," $94,80 "
920,SADAF,SADAF SABZI GHORMEH 24/2 OZ," $94,80 "
921,SADAF,SADAF SABZI KOOFTEH 24/2 OZ," $94,80 "
922,SADAF,SADAF JASMINE RICE 4/10 LB," $62,80 "
923,SADAF,SADAF EGGPLANT IKRA RUSSIAN STYLE 12/19 OZ," $42,00 "
924,SADAF,SADAF CARDAMOM GROUND 12/0.75 OZ," $48,00 "
925,SADAF,SADAF CARDAMOM GREEN 12/0.75 OZ," $48,00 "
926,SADAF,SADAF MINT WATER 12/300 ML," $49,40 "
927,SADAF,SADAF ROCK CANDY WHITE FILBERT 20/12 OZ," $57,40 "
928,SADAF,SADAF SABZI POLO 24/2 OZ," $94,80 "
929,SADAF,SADAF SAFFRON 12/1 GR," $72,00 "
930,SADAF,SADAF SP. BL. CARDAMON TEA 24/50 TB," $116,80 "
931,SADAF,SADAF YELLOW SPLIT PEAS HARD ( SLOW COOK ) 24/16 OZ," $42,00 "
932,SADAF,SADAF YELLOW SPLIT PEAS 24/24 OZ," $52,80 "
933,SADAF,SADAF RESHTEH POLO 20/8 OZ," $52,80 "
934,SADAF,SADAF SABZI KOOKOO 24/2 OZ," $94,80 "
935,SADAF,SADAF ROCK CANDY YELLOW FILBERT 20/12 OZ," $54,80 "
936,OTHER,SAFAWI DATES 8/1 KG," $95,00 "
937,OTHER,SAHTEIN BROWN LENTILS 12/2 LBS," $24,00 "
938,OTHER,SALAH EL DIN SESAME 20/250 GR," $45,00 "
939,OTHER,SALAM SAMOSA SHEETS 24/400 GR," $68,00 "
940,OTHER,SALAMI PLAIN SLICED 10 LBS," $65,00 "
941,OTHER,SALTED FISH ( FESIKH ) PER LB," $18,50 "
942,SARIKIZ,SARIKIZ MINERAL WATER 24/250 ML," $8,95 "
943,SARIKIZ,SARIKIZ MINERAL WATER APPLE 24/200 ML," $12,00 "
944,SARIKIZ,SARIKIZ MINERAL WATER POMEGRANATE 24/200 ML," $12,00 "
945,SARIKIZ,SARIKIZ MINERAL WATER WATERMELON/STRAWBERRY 24/200 ML," $12,00 "
946,SARIKIZ,SARIKIZ MINERAL WATER LEMON 24/200 ML," $12,00 "
947,OTHER,SAUDI KHALAS DATES W/SESAME 8/1 KG," $45,00 "
948,SCHWEPPES,SCHWEPPES PINEAPPLE DRINK 12/250 ML GLASS," $12,00 "
949,SCHWEPPES,SCHWEPPES LEMON/MINT DRINK 12/250 ML GLASS," $14,50 "
950,SCHWEPPES,SCHWEPPES BITTER LEMON  24/330 ML CANS," $24,00 "
951,SCHWEPPES,SCHWEPPES TANGERINE FLAVOR 24/330 ML CANS," $24,00 "
952,SCHWEPPES,SCHWEPPES POMEGRANATE DRINK 24/330 ML CANS," $24,00 "
953,OTHER,SELAM PISTACHIO KATAIFI 5.5 LBS," $39,80 "
954,OTHER,SELAM WALNUT BAKLAVA 72 PCS 5.5 LBS," $34,00 "
955,OTHER,SELAM PISTACHIO BAKLAVA 72 PCS 5.5 LBS," $41,80 "
956,OTHER,SELAM CARROT SLICE BAKLAVA W/PISTACHIO 16 PCS TRAY," $39,00 "
957,OTHER,SESAME CANDY WHEEL PER PC," $2,00 "
958,OTHER,SHAHIA DRIED FIGS 48/8 OZ," $109,80 "
959,OTHER,SHAN SPICE MIXES 12 DOZENS," $253,95 "
960,SHANI,SHANI DRINK 24/300 ML CANS," $21,00 "
961,OTHER,SHIRIN YASHA'S ZOLBIA + BAMIEH 24/16 OZ," $189,00 "
962,OTHER,SINALCO IRAQI SODA CITO 24/300 ML," $24,00 "
963,OTHER,SINALCO IRAQI SODA ORANGE 24/300 ML," $24,00 "
964,OTHER,SINALCO IRAQI COLA 24/330 ML," $24,00 "
965,OTHER,SINALCO IRAQI SODA LEMON 24/300 ML," $24,00 "
966,OTHER,SIRMA MINERAL WATER 24/200 ML," $8,95 "
967,OTHER,SIRMA MINERAL WATER TANGERINE 24/200 ML," $12,00 "
968,OTHER,SIRO DIGESTIVE COOKIES 20/14 OZ," $37,80 "
969,OTHER,SLICED DONER 4/5 LB," $198,00 "
970,OTHER,SMOKED HERRING RINGA PER LB," $6,75 "
971,OTHER,SNICKERS 40/50 GR," $34,00 "
972,OTHER,SOGOL DRIED LIME 24/6 OZ," $96,00 "
973,OTHER,SPLIT FAVA BEANS MEDIUM 50 LBS," $52,00 "
974,SPYSI,SPYSI SPICE MIX SHISH TAWOOK 48/90 G BOX," $120,00 "
975,SPYSI,SPYSI SPICE MIX HAWAWSHY 48/90 G BOX," $120,00 "
976,SPYSI,SPYSI SPICE MIX KOFTA 48/90 G BOX," $120,00 "
977,OTHER,STAINLESS STEEL TEA KETTLE 1 LT," $9,95 "
978,OTHER,STAINLESS STEEL TEA KETTLE 2 LT," $11,90 "
979,OTHER,STAINLESS STEEL TEA KETTLE 3 LT," $14,50 "
980,SUHAGY,SUHAGY WHITE BEANS 20/400 GR," $42,00 "
981,SUHAGY,SUHAGY RADDA WHEAT SHELL FINE 20/200 GR," $30,00 "
982,SUHAGY,SUHAGY LUPINI BEANS 20/500 GR," $42,00 "
983,SUHAGY,SUHAGY COCONUT 20/250 GR," $68,75 "
984,OTHER,SUKKARI KASEEM DATES 4/3 KG," $98,00 "
985,OTHER,SUKKARI AL KASEEM DATES ROUND 10/1 KG," $98,00 "
986,OTHER,SUMAC GROUND 25 LBS," $78,00 "
987,OTHER,SUMAC GROUND 50 LBS," $136,00 "
988,OTHER,SUN COLA 24/250 ML," $18,00 "
989,OTHER,SUN TOP ORANGE  24/250 ML," $18,00 "
990,OTHER,SUN TOP MIX FRUIT  24/250 ML," $18,00 "
991,TAMEK,TAMEK TOMATO PASTE 12/720ML GLASS," $36,00 "
992,TAYAS,TAYAS MAGIC ASSORTMENT 6/705 GR," $62,50 "
993,TAYAS,TAYAS DAMLA MIX CANDY 8/800 GR PVC," $39,00 "
994,TEHMAR,TEHMAR EXTRA VIRGIN OLIVE OIL 4/3 LT," $136,00 "
995,TEHMAR,TEHMAR POMEGRANATE SAUCE 12/500 ML," $24,00 "
996,OTHER,THE SCENT AIR FRESHENER 6 PCS," $20,00 "
997,OTHER,THERMOS FLASK  EXTRA FANCY 1L," $21,00 "
998,OTHER,TIGER CHIPS 6/200 GR," $23,00 "
999,OTHER,TIK TIK INSTANT KOSHARY 24/188 GR CUP," $42,00 "
1000,TOBLERONE,TOBLERONE MILK CHOCOLATE 20/100 GR," $36,00 "
1001,TRIA,TRIA AL BELBOULA 15/1 KG," $44,80 "
1002,TRIA,TRIA NOODLES 12/500 GR," $25,80 "
1003,TRIA,TRIA COUSCOUS FINE 12/1 KG," $39,80 "
1004,TRIA,TRIA COUSCOUS MEDIUM 12/1 KG," $39,80 "
1005,TYJ SPRING,"TYJ SPRING ROLL 8"" 40/25 PCS"," $55,00 "
1006,ULKER,ULKER DARK CHOC. W/PISTACHIOS 6/80 GR," $14,80 "
1007,ULKER,ULKER CHOC. W/PISTACHIOS 6/70 GR," $16,80 "
1008,ULKER,ULKER BISKREM COCOA 12/205GR," $27,00 "
1009,ULKER,ULKER TEA BISCUITS 5/1KG," $19,95 "
1010,ULKER,ULKER TEA BISCUITS 10/400 GR," $19,80 "
1011,ULKER,ULKER TEA BISCUIT 16/175GR," $16,80 "
1012,ULKER,ULKER HALLEY BISCUIT 12/300GR," $37,00 "
1013,ULKER,ULKER FINGER COOKIES 5/750 GR," $24,80 "
1014,ULKER,ULKER CHOCO SANDWICH 12/300GR," $29,00 "
1015,ULKER,ULKER ALBENI RING 12/344GR," $46,00 "
1016,ULUDAG,ULUDAG PLAIN GAZOZ 24/330ML," $24,00 "
1017,VALBRESO,VALBRESO 8/600 GR," $84,80 "
